model,term,estimate,std_error,p_value,ci_lower,ci_upper,nobs,aic,bic,converged
ols,Intercept,105.06869109733718,15.641299391051174,1.850097090944081e-11,74.4123076194686,135.72507457520575,75.0,772.7869785761349,779.7394429167438,True
ols,centered_year,-6.636376564582736,1.5229195376707918,1.3145604897149284e-05,-9.621244009769878,-3.651509119395594,75.0,772.7869785761349,779.7394429167438,True
ols,tmean_c,4.406614760631225,0.8324438031346612,1.1993930034920765e-07,2.775054887333738,6.038174633928712,75.0,772.7869785761349,779.7394429167438,True
mixed,Intercept,4.276933417321704e-16,15.860396188653773,1.0,-31.085805310297737,31.085805310297737,75.0,-inf,-inf,True
mixed,centered_year,1.4498753643330893,9.48354838064649,0.8784903729249108,-17.137537907377183,20.03728863604336,75.0,-inf,-inf,True
mixed,tmean_c,2.2504057820139036,0.6507000332120848,0.0005433171201443951,0.9750571521792004,3.525754411848607,75.0,-inf,-inf,True
mixed,Group Var,0.0,1.608770768210686e+21,1.0,-3.15313276507378e+21,3.15313276507378e+21,75.0,-inf,-inf,True
